PMCID,Plant,Compound,TPS nomenclature,
PMC8318001,Phalaenopsis bellina,Yes,Yes,
PMC8278605,Apostasia ramifera,not mentioned,Yes,
PMC8255067,Cinnamomum camphora,Yes,Yes,
PMC8248349,Antirrhinum majus,Yes,Yes,
PMC8212831,Datura stramonium,not mentioned,Yes,
PMC8222033,Solanum habrochaites,Yes,Yes,
PMC8213826,Rosa rugosa,not mentioned,not mentioned,
PMC8153298,Anthurium,Yes,Yes,
PMC8224800,Rice.,Yes,Yes,
PMC8148558,Mentha canadensis,table,Yes,
PMC8166937,Morinda officinalis,not mentioned,Yes,
PMC8147058,apple ,Yes,Yes,
PMC8110574,Corymbia citriodora,Yes,Yes,
PMC8101708,Dendrobium officinale,Yes,Yes,
PMC8087695,Camellia sinensis,Yes,not mentioned,
PMC8066702,Mentha longifolia,not mentioned,Yes,
PMC8061277,Arecaceae,Yes,Yes,
AGR: IND606995189,Ficus carica,Yes,Yes,
PMC7982956,Citrus sinensis ,Yes,Yes,
PMC7968207,Zea mays,Yes,Yes,
PMC7952643,Solanum lycopersicum,Yes,Yes,
PMC7952619,Hedychium coronarium,Yes,Yes,
PMC7923825,,not mentioned,Yes,bacteria
PMC7917091,Lavandula angustifolia,Yes,Yes,
PMC7917104,Magnolia biondii Pamp,not mentioned,Yes,
PMC7890116,Artemisia annua,not mentioned,Yes,
PMC7890063,,Yes,Yes,mushroom
PMC7916813,Zanthoxylum bungeanum,Yes,not mentioned,
PMC7861536,citrus,Yes,not mentioned,
PMC7866031,Populus trichocarpa,Yes,Yes,
PMC7815096,,Yes,Yes,Heliconius butterflies
PMID: 33453433,Albizia julibrissin,Yes,Yes,
PMC7826640,,Yes,Yes,Selaginella moellendorffii
PMC7794574,Passiflora edulis,Yes,Yes,
PMC7705728,Daucus carota,Yes,Yes,
PMC7724791,Tanacetum vulgare,Yes,Yes,
PMC7698779,Freesia hybrida,Yes,Yes,
PMC7696289,Stevia rebaudiana,Yes,Yes,
PMC7591569,Prunus persica,Yes,Yes,
PMC7552398,,Yes,Yes,beetle Agasicles hygrophila
PMC7582308,Dendrobium officinale,Yes,Yes,
