Volatile compounds,Plant,Table S2 Categorization of volatile substances in the skin and pulp of Chardonnay and Bud mutation ,
"1,3,6,10-Dodecatetraene, 3,7,11-trimethyl-, (Z,E)-",Vitis vinifera,8,Chardonnay-skin
D-Limonene,Vitis vinifera,9,Chardonnay-skin
,Vitis vinifera,10,Chardonnay-skin
"cis-1-Butene,1-butoxy-",Vitis vinifera,11,Chardonnay-skin
"Cyclopropene, 1-methyl-3-(2-methylcyclopropyl)-",Vitis vinifera,12,Chardonnay-skin
"1,3-Cyclopentadiene, 1,2-dimethyl-",Vitis vinifera,13,Chardonnay-skin
"trans,trans-2,8-Decadiene",Vitis vinifera,14,Chardonnay-skin
,Vitis vinifera,Ester,
"3-Hydroxymandelic acid, ethyl ester, di-TMS",Vitis vinifera,1,Bud mutation-skin
"Acetic acid, butyl ester",Vitis vinifera,2,Bud mutation-skin
"Phthalic acid, hept-4-yl isobutyl ester",Vitis vinifera,3,Bud mutation-skin
trans-Geranic acid methyl ester,Vitis vinifera,4,Bud mutation-skin
"Formic acid, ethenyl ester",Vitis vinifera,5,Bud mutation-skin
"Oxalic acid, diallyl ester",Vitis vinifera,6,Bud mutation-skin
"Formic acid, 2-methylbutyl ester",Vitis vinifera,7,Bud mutation-skin
"2,4-Decadienoic acid, ethyl ester, (E,Z)-",Vitis vinifera,8,Bud mutation-skin
"Carbamic acid, N,N-dimethyl-, 3,4-dimethylphenyl ester",Vitis vinifera,9,Bud mutation-skin
Methyl nitrate,Vitis vinifera,10,Bud mutation-skin
"2-Fluorobenzoic acid, 4-nitrophenyl ester",Vitis vinifera,11,Bud mutation-skin
"Sulfurous acid, 2-ethylhexyl hexyl ester",Vitis vinifera,12,Bud mutation-skin
"2-Propenoic acid, 2-methyl-, (tetrahydro-2-furanyl)methyl ester",Vitis vinifera,13,Bud mutation-skin
Diallyl succinate,Vitis vinifera,14,Bud mutation-skin
4-Methylpentyl benzoate,Vitis vinifera,15,Bud mutation-skin
"Sulfurous acid, 2-ethylhexyl hexyl ester",Vitis vinifera,16,Bud mutation-skin
Trimethylsilyl ethaneperoxoate,Vitis vinifera,17,Bud mutation-skin
Trimethylsilyl ethaneperoxoate,Vitis vinifera,18,Bud mutation-skin
(2-exo)-8-Methyl-8-azabicyclo[3.2.1]oct-3-ene-2-carboxylic acid methyl ester,Vitis vinifera,19,Bud mutation-skin
"Benzoic acid, 2-hydroxy-, heptyl ester",Vitis vinifera,20,Bud mutation-skin
"4-Methoxybenzoic acid, 2-methoxyethyl ester",Vitis vinifera,21,Bud mutation-skin
"5-Ethoxyimidazole-4-carboxylic acid, ethyl(ester)",Vitis vinifera,Alcohol,Bud mutation-skin
,Vitis vinifera,1,Bud mutation-skin
"Silanediol, dimethyl-",Vitis vinifera,2,Bud mutation-skin
"2,6-Octadien-1-ol, 3,7-dimethyl-, (Z)-",Vitis vinifera,3,Bud mutation-skin
2-Hexyn-1-ol,Vitis vinifera,4,Bud mutation-skin
Phenylethyl Alcohol,Vitis vinifera,5,Bud mutation-skin
Benzyl alcohol,Vitis vinifera,6,Bud mutation-skin
"1-Butanol, 3-methyl-",Vitis vinifera,7,Bud mutation-skin
Isopropyl Alcohol,Vitis vinifera,8,Bud mutation-skin
(S)-3-Ethyl-4-methylpentanol,Vitis vinifera,9,Bud mutation-skin
1-Nonen-4-ol,Vitis vinifera,10,Bud mutation-skin
"1,2-Benzenediol, O-acetoxyacetyl-O'-(4-butylbenzoyl)-",Vitis vinifera,11,Bud mutation-skin
"Propan-1-ol, 3-(morpholin-4-yl)-1-phenyl-",Vitis vinifera,12,Bud mutation-skin
"2-Propanol, 1-iodo-2-methyl-",Vitis vinifera,Aldehydes,Bud mutation-skin
,Vitis vinifera,1,Bud mutation-skin
Benzeneacetaldehyde,Vitis vinifera,2,Bud mutation-skin
Benzaldehyde,Vitis vinifera,3,Bud mutation-skin
2-Hexenal,Vitis vinifera,4,Bud mutation-skin
"Butanal, 3-methyl-",Vitis vinifera,5,Bud mutation-skin
"2,6-Octadienal, 3,7-dimethyl-, (E)-",Vitis vinifera,6,Bud mutation-skin
Nonanal,Vitis vinifera,7,Bud mutation-skin
"Butanal, 2-methyl-",Vitis vinifera,8,Bud mutation-skin
Pent-2-ynal,Vitis vinifera,9,Bud mutation-skin
Heptanal,Vitis vinifera,10,Bud mutation-skin
"1-Cyclohexene-1-carboxaldehyde, 2,6,6-trimethyl-",Vitis vinifera,11,Bud mutation-skin
"Glyoxal, 4-methylphenyl-",Vitis vinifera,12,Bud mutation-skin
Decanal,Vitis vinifera,Ketones,Bud mutation-skin
,Vitis vinifera,1,Bud mutation-skin
"1-[(1-Oxo-2-propenyl)oxy]-2,5-pyrrolidinedione",Vitis vinifera,2,Bud mutation-skin
"Ethanone, 2-(formyloxy)-1-phenyl-",Vitis vinifera,3,Bud mutation-skin
"1-Pentanone, 1-(2-furanyl)-",Vitis vinifera,4,Bud mutation-skin
"2-Pyrrolidinethione, 3,3,5,5-tetramethyl-",Vitis vinifera,5,Bud mutation-skin
"Ethanone, 2,2'-(octahydro-2,3-quinoxalinediylidene)bis[1-phenyl-",Vitis vinifera,6,Bud mutation-skin
"[1,2,5]Oxadiazolo[3,4-b]pyrazinedione, 1,3-dihydro-, dihydrazone",Vitis vinifera,7,Bud mutation-skin
"6-Phenyl-3,5-hexadien-2-one",Vitis vinifera,Alkenes,Bud mutation-skin
,Vitis vinifera,1,Bud mutation-skin
"1H-Naphtho[2,1-b]pyran, 3-ethenyldodecahydro-3,4a,7,7,10a-pentamethyl-, [3R-(3.alpha.,4a.beta.,6a.alpha.,10a.beta.,10b.alpha.)]-",Vitis vinifera,2,Bud mutation-skin
"2H-Pyran, 3,6-dihydro-4-methyl-2-(2-methyl-1-propenyl)-",Vitis vinifera,3,Bud mutation-skin
.alpha.-Bourbonene,Vitis vinifera,4,Bud mutation-skin
2-Aminoacrylonitrile,Vitis vinifera,5,Bud mutation-skin
"1-Cyclohexene-1-carboxaldehyde, 2,6,6-trimethyl-",Vitis vinifera,6,Bud mutation-skin
"Succinimide, N-(E-2-buten-1-one-1-yl)-",Vitis vinifera,7,Bud mutation-skin
.alpha.-Phellandrene,Vitis vinifera,8,Bud mutation-skin
"Cyclohexene, 1,5,5-trimethyl-3-methylene-",Vitis vinifera,9,Bud mutation-skin
"1-Methyl-3-iso-propyl-2,4,5-trioxoimidazolidine",Vitis vinifera,10,Bud mutation-skin
"Octane, 2,7-dimethyl-",Vitis vinifera,11,Bud mutation-skin
.alpha.-Cubebene,Vitis vinifera,Alkynes,Bud mutation-skin
,Vitis vinifera,1,Bud mutation-skin
"4,6-Octadiyn-3-one, 2-methyl-",Vitis vinifera,Acids,Bud mutation-skin
,Vitis vinifera,1,Bud mutation-skin
Hydrogen isocyanate,Vitis vinifera,2,Bud mutation-skin
"Carbamic acid, N,N-dimethyl-, 3,4-dimethylphenyl ester",Vitis vinifera,3,Bud mutation-skin
"L-Serine, N-methyl-",Vitis vinifera,Benzodiazepines,Bud mutation-skin
,Vitis vinifera,1,Bud mutation-skin
"Cyclopropane, propyl-",Vitis vinifera,2,Bud mutation-skin
"Cyclotetrasiloxane, octamethyl-",Vitis vinifera,3,Bud mutation-skin
Toluene,Vitis vinifera,4,Bud mutation-skin
Ethylbenzene,Vitis vinifera,5,Bud mutation-skin
"Benzene, 1,3-dimethyl-",Vitis vinifera,6,Bud mutation-skin
"4-tert-Octylphenol, TMS derivative",Vitis vinifera,7,Bud mutation-skin
"Benzene, 1,3-dichloro-",Vitis vinifera,8,Bud mutation-skin
"Pyrimidine, 4-methyl-2-phenyl-",Vitis vinifera,9,Bud mutation-skin
"Benzene, (1-methyldecyl)-",Vitis vinifera,10,Bud mutation-skin
"1,2,4-Oxadiazol-5-amine, 3-phenyl-",Vitis vinifera,11,Bud mutation-skin
Benzenepropanoyl bromide,Vitis vinifera,12,Bud mutation-skin
"Benzene, azido-",Vitis vinifera,13,Bud mutation-skin
"Sulfoxide, methyl phenethyl",Vitis vinifera,14,Bud mutation-skin
"Benzenamine, 2-(trifluoromethyl)-",Vitis vinifera,15,Bud mutation-skin
"Phenol, 2-(1-phenylethyl)-",Vitis vinifera,16,Bud mutation-skin
"Pyridine, 2-[2-(4-aminophenyl)ethenyl]-, trans-",Vitis vinifera,17,Bud mutation-skin
1-Aminobenzotriazole,Vitis vinifera,,Bud mutation-skin
,Vitis vinifera,Terpenes,Bud mutation-skin
,Vitis vinifera,1,Bud mutation-skin
Geraniol,Vitis vinifera,2,Bud mutation-skin
Linalool,Vitis vinifera,3,Bud mutation-skin
trans-2-Hexenol,Vitis vinifera,4,Bud mutation-skin
D-Limonene,Vitis vinifera,5,Bud mutation-skin
"Bicyclo[3.2.0]hepta-2,6-diene",Vitis vinifera,6,Bud mutation-skin
trans-Calamenene,Vitis vinifera,7,Bud mutation-skin
"Cyclobutene, 2-propenylidene-",Vitis vinifera,8,Bud mutation-skin
Caryophyllene,Vitis vinifera,9,Bud mutation-skin
"Bicyclo[3.1.1]heptane, 6-methyl-2-methylene-6-(4-methyl-3-pentenyl)-, [1R-(1.alpha.,5.alpha.,6.beta.)]-",Vitis vinifera,10,Bud mutation-skin
"3-Buten-2-one, 4-(2,6,6-trimethyl-1-cyclohexen-1-yl)-",Vitis vinifera,11,Bud mutation-skin
"3-Hexyne, 2-methyl-",Vitis vinifera,12,Bud mutation-skin
,Vitis vinifera,13,Bud mutation-skin
"4-Methyl-2,4-bis(p-hydroxyphenyl)pent-1-ene, 2TMS derivative",Vitis vinifera,14,Bud mutation-skin
Germacrene D,Vitis vinifera,15,Bud mutation-skin
trans-1-Chloro-2-methylthio-ethene,Vitis vinifera,16,Bud mutation-skin
cis-Linaloloxide,Vitis vinifera,,Bud mutation-skin
,,,
Subfamily Name Accession No. Species Function/Product ,,,
,,,
TPS-b ,FhLin AFP23421.1 Freesia hybrid cultivar linalool ,https://www.frontiersin.org/articles/10.3389/fpls.2021.700958/full,
,,,
,VvPNRLin ADR74209.1 Vitis vinifera (3R)-linalool ,,
,,,
,MdOCS-RG1 AGB14628.1 Malus domestica (E)-_-ocimene ,,
,,,
,SlTPS38 AEP82768.1 Solanum lycopersicum _-bergamotene ,,
,,,
,VvaTerP NP_001268216.1 Vitis vinifera (-)-alpha-terpineol ,,
,,,
,PmIspS AAQ84170.1 Pueraria montana var. lobata isoprene ,,
,,,
,PtIspS AAQ16588.1 Populus tremuloides isoprene ,,
,,,
,MdRGAFS1 AAX19772.1 ,,
,,,
,"(E,E)-a-farnesene ",,
,,,
,Malus domestica ,,
,,,
,"PcAFS1 AAT70237.1 Pyrus communis L. (E,E)-a-farnesene ",,
,,,
TPS-g ,AmMyr AAO41727.1 Antirrhinum majus myrcene ,,
,,,
,AtTPS14 NP_176361.2 Arabidopsis thaliana (3S)-linalool ,,
,,,
,GmNES AEE92791.1 Glycine max nerol ,,
,,,
,ZmTPS2 NP_001105854.1 Zea mays ,,
,,,
,"linalool, (E)- nerolidol, and (E,E)- geranyllinalool ",,
,,,
TPS-a ,Cstps1 AAQ04608.1 Citrus sinensis valencene ,,
,,,
,MdGDS-RG1 AGB14625.1 Malus domestica germacrene-D ,,
,,,
,SlTPS12 AEP82783.1 Solanum lycopersicum ,,
,,,
,_-caryophyllene and _-humulene ,,
,,,
,NtEAS AFJ04408.1 Nicotiana tabacum 5-epi-aristolochene ,,
,,,
,EhTPS XP_010910563.1 Elaeis guineensis _ ,,
,,,
TPS-c ,OsCyc2 BAD42452.1 Oryza sativa ,,
,,,
,ent-copalyl diphosphate ,,
,,,
,SlTPS41 AEP82765.1 Solanum lycopersicum Unknown ,,
,,,
,SrCPS AAB87091.1 Stevia rebaudiana ,,
,,,
,ent-copalyl diphosphate ,,
,,,
TPS-e/f ,OsDTC2/KS8 XP_015617513.1 Oryza sativa stemar-13-ene ,,
,,,
,"OsDTC1/KS7 BAC56714.1 Oryza sativa ent-cassa-12,15-diene ",,
,,,
,SlTPS24/KS AEP82778.1 Solanum lycopersicum ent-kaurene ,,
,,,
,MdRGEKS AFG18184.1 Malus domestica ent-kaurene ,,
,,,
,LnTPS3 AKQ19359.1 Laurus nobilis geranyllinalool ,,
,,,
,"AdAFS1 ACO40485.1 Actinidia deliciosa (E,E)-a-farnesene ",,
,,,
,"(E)-Nerolidol and VvPNENerGl ADR74220.1 Vitis vinifera (E,E)-Geranyl ",,
,,,
,linalool syn ,,
,,,
,PdTPS XP_017696375.1 Phoenix dactylifera _ ,,
,,,
Carene,https://europepmc.org/article/MED/34249483#free-full-text,,
Pseudolimonen,,,
Camphene,,,
Sabinene,,,
Phellandrene,,,
L_Limonene,,,
Eucalyptol,,,
D_Limonene,,,
Terpinolene,,,
Camphor,,,
Bornyl_acetate,,,
L-Borneol,,,
D-Borneol,,,
Terpineol,,,
Elemene,,,
germacreneB,,,
Caryophyllene,,,
Humulene,,,
_-Copaene,,,
Elemene_isomer,,,
_-selinene,,,
,,,
Alpha-terpineol synthase,CcTPS1,https://europepmc.org/article/MED/34249483#free-full-text,
(-)-alpha-terpineol synthase,CcTPS2,,
alpha-terpineol synthase,CcTPS3,,
S-+-linalool synthase,CcTPS4,,
Geraniol synthase,CcTPS5,,
S-+-linalool synthase,CcTPS6,,
Beta-cubebene synthase,CcTPS7,,
(-)-germacrene D synthase,CcTPS8,,
terpene synthase,CcTPS9,,
diterpene geranyllinalool synthase,CcTPS10,,
diterpene geranyllinalool synthase,CcTPS11,,
ent-copalyl diphosphate synthase,CcTPS12,,
diterpene geranyllinalool synthase,CcTPS13,,
,,,
2-carene,https://doi.org/10.1007/s00425-021-03651-y,,
a-bergamotene,,,
exo-a-bergamotene,,,
endo-b-bergamotene,,,
epi-b-santalene,,,
a-humulene,,,
a-phellandrene,,,
a-santalene,,,
b-phellandrene,,,
,,,
Eucalyptol,https://doi.org/10.3390/molecules26102902,,
"_, _-4-trimethyl-3-Cyclohexene-1-methanol",,,
_-Pinene,,,
_-Phellandrene,,,
1-methyl-4-(1-methylethylidene)-cyclohexene,,,
"(E)-1,3,6-Octatriene, 3,7-dimethyl-",,,
_-Pinene,,,
_-Myrcene,,,
4-methyl-1-(1-methylethyl)-3-Cyclohexen-1-ol,,,
"cis-2-Cyclohexen-1-ol,2-methyl-5-(1-methylethenyl)-,acetate",,,
Thujone,,,
3-methyl-6-(1-methylethylidene)-cyclohexene,,,
"2,6-Octadienoic",,,
"1H-Cyclopropa[a]naphthalene,1a,2, 3,3a,4,5,6,7b-octahydro-1,1,3a,7-tetramethyl",,,
_-Himachalene,,,
Tetradecane,,,
"Heptadecane,2,6,10,14-tetramethyl",,,
Pentadecane,,,
"1,2-Benzenedicarboxylic",,,
"2,6,10-trimethyl-Dodecane",,,
"Cyclohexasiloxane,",,,
decamethyl-cyclopentasiloxane,,,
Tridecane,,,
10-Methylnonadecane,,,
"2,6,11,15-tetramethyl-Hexadecane",,,
"3,5-dimethyl-Undecane",,,
Hexadecane,,,
,,,
2-Methylbutyl 2-methylbutyrate,https://doi.org/10.1186/s12870-021-03032-3,,
"Propanoic acid, 2-methyl-, pentyl ester",,,
"Butanoic acid, 2-methyl-, propyl ester",,,
Butyl 2-methylbutanoate,,,
"Butanoic acid, 2-methyl-, pentyl ester",,,
"Hexanoic acid, 2-methylbutyl ester",,,
"1-Butanol, 2-methyl-, acetate",,,
"Propanoic acid, butyl ester",,,
"Propanoic acid, hexyl ester",,,
"Propanoic acid, propyl ester",,,
"Propanoic acid, pentyl ester",,,
"Butanoic acid, propyl ester",,,
"Butanoic acid, butyl ester",,,
"Butanoic acid, hexyl ester",,,
"Butanoic acid, ethyl ester",,,
"Butanoic acid, 2-methylbutyl ester",,,
"Heptanoic acid, butyl ester",,,
"Hexanoic acid, propyl ester",,,
"Hexanoic acid, butyl ester",,,
"Hexanoic acid, hexyl ester",,,
"Hexanoic acid, pentyl ester",,,
"Octanoic acid, hexyl ester",,,
2-Methylbutyl octanoate,,,
Butyl caprylate,,,
Acetic acid propyl ester,,,
"Acetic acid, butyl ester",,,
"Acetic acid, hexyl ester",,,
"Acetic acid, pentyl ester",,,
"Propanoic acid, 2-methyl-, hexyl ester",,,
"Propanoic acid, 2-methyl-, pentyl ester",,,
"Butanoic acid, 2-methyl-, hexyl ester",,,
2-Methylbut-2-en-1-yl acetate,,,
"3-Hexen-1-ol, acetate, (E)-",,,
"2-Hexen-1-ol, acetate, (Z)-",,,
Methyl salicylate,,,
Aldehydes,,,
Hexanal,,,
"4-Pentenal, 2-methyl-",,,
2-Hexenal,,,
3-Hexenal,,,
Octanal,,,
"2-Heptenal, (Z)-",,,
Nonanal,,,
"2-Octenal, (E)-",,,
"2,4-Hexadienal, (E,E)-",,,
1-Butanol,,,
"1-Butanol, 2-methyl-",,,
1-Hexanol,,,
Linalool,,,
(5-Methyltetrahydro-2-Furanyl)Methanol,,,
Terpenoids,,,
1-Octen-3-one,,,
"5-Hepten-2-one, 6-methyl-",,,
"(Z,E)-_-Farnesene ",,,
Isocaryophillene,,,
"Butanoic acid, 2-methyl-",,,
,,,
Phellandrene ,https://doi.org/10.3389/fgene.2021.661296,,
Pinene,,,
B-Myrcene,,,
Cineole,,,
3-Carene,,,
y-Muurolene,,,
Farnesene,,,
Famesene,,,
Patchoulene,,,
Elemene,,,
a-Thujene,,,
Pinene,,,
B-Myrcene,,,
Cineole,,,
Linalool,,,
Terpineol,,,
,,,
B-pinene,https://doi.org/10.3389/fgene.2021.661296,,
cineole,,,
Q-terpineol,,,
a-farnesene,,,
linalool,,,
y-muurolene,,,
a-pinene,,,
Q-Thujene,,,
q-phellandrene,,,
B-myreene,,,
8-elemene,,,
a-patchoulene,,,
,,,
"1,2-Pentyl Furan",https://www.sciencedirect.com/science/article/pii/S0168945220301552?via%3Dihub,,
p-Cymene,,,
Benzothiazole,,,
"E,E-2,4-Decadienal",,,
_-Himachalene,,,
"3,5-Octadien-2-one",,,
"E,E-2,4-Nonadienal",,,
Germacrene,,,
"E,Z-2,4-Decadienal",,,
"_-Cuprenene,",,,
_-Cadinene,,,
Dehydro Actinidiolide,,,
_-Thujene,,,
Neoclovene,,,
"Selina-3,7(11)-diene",,,
Terpinen-4-ol,,,
Geranyl,,,
_-Terpineol,,,
_-Elemene,,,
_-Damascenone,,,
2-Methyl benzaldehyde,,,
Hydrocinnamaldehyde,,,
"p-Menth-1-en-9-al,",,,
p-Mentha-1-en-9-ol,,,
"_-Himachalene,",,,
_-Cadinene,,,
_-Curcumene,,,
Andro encecalinol,,,
_-acoradiene,,,
_-Cuprenene,,,
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",,,
Methyl n-Nonanoate,,,
Octanal,,,
Farnesane,,,
_-methylbutyrate,,,
Styrene,,,
Ethyl,,,
o-Tolualdehyde,,,
"1,2-Dimethoxybenzene (Veratrol)",,,
Ethyl benzoate,,,
Benzeneacetic acid,,,
Ethyl nonanoate,,,
,,,
n-Hexanal,https://www.sciencedirect.com/science/article/pii/S0168945220301552?via%3Dihub,,
Ethyl _-methylbutyrate,,,
E-2-Hexenal,,,
2-Heptanone,,,
Styrene,,,
_-Thujene,,,
Heptanal,,,
_-Pinene,,,
Ethyl Tiglate,,,
E-2-Heptenal,,,
Benzaldehyde,,,
2-Pentyl Furan,,,
1-octen-3-ol,,,
Octanal,,,
Isobutyl Benzene,,,
"E,E-2,4-Heptadienal",,,
3-ethyl-4-methylpentan-1-ol,,,
p-Cymene,,,
2-Ethyl Hexanol,,,
Benzyl alcohol,,,
Benzeneacetaldehyde,,,
E-2-Octenal,,,
Acetophenone,,,
"3,5-Octadien-2-one",,,
2-Methyl benzaldehyde,,,
3-Methoxy-2-isopropyl Pyrazine,,,
o-Tolualdehyde,,,
Linalool,,,
Nonanal,,,
Phenylethyl alcohol,,,
"1,2-Dimethoxybenzene (Veratrol)",,,
"E,Z-2,6-Nonadienal",,,
E-2-Nonenal,,,
2-Sec-Butyl-3-Methoxypyrazine,,,
Hydrocinnamaldehyde,,,
Citronellal,,,
Ethyl benzoate,,,
cis-linalol pyranoxide,,,
2-Isobutyl-3-methoxypyrazine,,,
Terpinen-4-ol,,,
Ethyl ester Benzoic acid,,,
Methyl salicylate,,,
_-Terpineol,,,
Ethyl octanoate,,,
Dodecane,,,
"E,E-2,4-Nonadienal",,,
Methyl n-Nonanoate,,,
p-Menth-1-en-9-al,,,
_-Citral,,,
Benzothiazole,,,
"Benzeneacetic acid, ethyl ester",,,
Geranial,,,
(E)-Cinnamaldehyde,,,
"E,Z-2,4-Decadienal",,,
p-Mentha-1-en-9-ol,,,
Ethyl nonanoate,,,
Tridecane,,,
_-Elemene,,,
Eugenol,,,
"E,E-2,4-Decadienal",,,
_-Damascenone,,,
Farnesane,,,
Tetradecane,,,
_-Gurjunene,,,
E-_-Caryophyllene,,,
_-trans-Bergamotene,,,
Neoclovene,,,
Geranyl acetone,,,
Viridiflorene,,,
Seychellene,,,
Germacrene D,,,
_- Curcumene,,,
_-acoradiene,,,
Pentadecane,,,
_-Himachalene,,,
_-Cuprenene,,,
_-Cadinene,,,
"Selina-3,7(11)-diene",,,
_-Cadinene,,,
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",,,
Hexadecane,,,
Dehydro Actinidiolide,,,
Andro encecalinol,,,
Ficusin (psoralen),,,
,,,
Cis-1-hexenol,https://doi.org/10.1186/s12870-021-02910-0,,
Nonane,,,
Citronellene,,,
3-Hexen-1-ol acetate,,,
Decane,,,
Linalool,,,
Undecane,,,
"(E)-4,8-Dimethylnona-1,3,7-triene",,,
Indole,,,
Methyl salicylate,,,
_-Ylangene,,,
Germacrene,,,
(E)-_-farnesene,,,
_-Muurolene,,,
_-Cadinene,,,
,,,
"3,7,7-Trimethyl-1,3,5-cycloheptatriene",https://doi.org/10.3389/fpls.2021.630155,,
4-Carene,,,
Limonene,,,
p-Cymene,,,
p-Cymenene,,,
Terpinolene,,,
_-Pinene,,,
_-Terpinene,,,
_-Myrcene,,,
_-phellandrene,,,
_-Pinene,,,
_-Terpinene,,,
Alloaromadendrene,,,
Guaiazulene,,,
_-Humulene,,,
_-Caryophyllen,,,
_-Elemene,,,
_-trans-Caryophyllene,,,
_-Elemene,,,
TMTT,,,
Crypton,,,
Dihydroactinidiolide,,,
Hexahydrofarnesyl acetone,,,
_-Cyclocitral,,,
_-Homocyclocitral,,,
_-ionone,,,
_-Ionone epoxide,,,
Aliphatics 1-Nonanol,,,
1-Octanol,,,
"2,4-Heptadienal, E,E-",,,
"2,4-Hexadienal",,,
"2-Heptenal, Z-",,,
"2-Hexenal, E-",,,
"9,12,15-Octadecatrienoic acid,",,,
"9,12-Octadecadienoic",,,
"E,E-2,4-Decadienal",,,
"Hexanoic acid,",,,
Methyl hexadecanoate,,,
Methyl myristate,,,
Methyl nonanoate,,,
Methyl octadecanoate,,,
Methyl octanoate,,,
Methyl palmitoleate,,,
Methyl pentadecanoate,,,
Nonanal,,,
Phenylpropanoids and,,,
Benzaldehyde,,,
"Benzaldehyde, 3-ethyl-",,,
Benzylalcohol,,,
Methylbenzoate,,,
Methylsalicylate,,,
o-Guaiacol,,,
,,,
"2-Hexena, (E)-",https://doi.org/10.3389/fpls.2021.630155,,
"2,4-Hexadienal",,,
hexanoic acid methyl ester,,,
_-Pinene,,,
"2-Heptenal, (Z)-",,,
Benzaldehyde,,,
"3,7,7-Trimethyl-1,3,5-cycloheptatriene ",,,
_-Pinene,,,
_-Myrcene,,,
2-Pentylfuran,,,
4-Carene,,,
"2,4-Heptadienal, (E,E)-",,,
_-Terpinene,,,
p-Cymene,,,
Limonene ,,,
_-Phellandrene,,,
Benzyl alcohol,,,
_-Terpinene,,,
1-Octanol,,,
Terpinolene,,,
o-Guaiacol,,,
p-Cymenene,,,
Methyl benzoate,,,
Nonanal,,,
2-Phenylethanol,,,
Methyl octanoate,,,
"Benzaldehyde, 3-ethyl-",,,
1-Nonanol,,,
Crypton,,,
Methyl salicylate,,,
Methyl nonanoate,,,
_-Cyclocitral,,,
_-Homocyclocitral,,,
"(E,E)-2,4-Decadienal",,,
_-Elemene,,,
_-Elemene,,,
_-Caryophyllen,,,
_-trans-Caryophyllene,,,
Alloaromadendrene,,,
_-Humulene,,,
_-ionone,,,
_-Ionone epoxide,,,
Dihydroactinidiolide,,,
"4,8,12- trimethyltrideca- 1,3,7,11-tetraene (TMTT)",,,
Methyl myristate,,,
Guaiazulene,,,
Methyl pentadecanoate,,,
Hexahydrofarnesyl acetone,,,
"7,10,13-Hexadecatrienoic acid, methyl ester",,,
Methyl palmitoleate,,,
Methyl hexadecanoate,,,
"9,12-Octadecadienoic acid, methyl ester (Z,Z)-",,,
"9,12,15-Octadecatrienoic acid, methyl ester, (Z,Z,Z)-",,,
Methyl octadecanoate,,,
Limonene,,,
_-Ionone ,,,
"E,E-2,4-Decadienal",,,
"4,8,12- trimethyltrideca- 1,3,7,11-tetraene TMTT",,,
"2-Heptenal, Z-",,,
"2-Hexenal, E-",,,
"2,4-Heptadienal, E,E-",,,
"9,12,15-Octadecatrienoic acid, methyl ester, Z,Z,Z-",,,
"9,12-Octadecadienoic acid, methyl ester Z,Z-",,,
(+)-2-Caren,,,
(+)-Isomenthol,,,
a-phellandrene,,,
"1,5,8-p-Menthatriene",,,
3-Carene,,,
Geraniol,,,
Geranyl Acetate,,,
Sabinene,,,
_-Bisabolene,,,
_-Selinene,,,
Trans-Z-.alpha.-Bisabolene epoxide,,,
"Megastigma-3,7(Z),9-triene",,,
"3,3-Dimethyl-1-hexen-4-yne",,,
Phenylacetaldehyde,,,
2-Ethylhexyl salicylate,,,
,,,
,https://doi.org/10.1038/s41438-021-00490-6,DATA NOT ACCESSIBLE,
,,,
https://www.mdpi.com/2304-8158/10/2/391/s1,https://doi.org/10.3390/foods10020391,green and red prickly ash,
,,,
Aromatic compounds ,https://doi.org/10.3390/molecules26030555,"Representative GC-MS chromatograms of hexane extracts made from untreated P. trichocarpa roots, Phytophthora cactorum-treated P. trichocarpa roots, and P. cactorum mycelium. 1, 1-hexanol; 2, 1,8-cineole*; 3, benzyl alcohol*; 4, salicylaldehyde*; 5, (E)-4-nonenal; 6, 2-phenylethanol*; 7, _-terpineole*; 8, contamination (softener); 9, elemol; 10, (1S,5S,7R,10R)-guaia-4(15)-en-11-ol + (1S,7R,10R)-guaia-4-en-11-ol; 11, myristaldehyde*; 12, myristic acid*; 13, unidentified compound; 14, pentadecanoic acid*; 15, palmitic acid*; 16, oleic acid*; 17, stearic acid*; 18, unidentified compound; IS, internal standard (nonylacetate). Compounds marked by asterisks were identified using authentic standards. Figure S3: Determination of the absolute configuration of (1S,5S,7R,10R)-guaia-4(15)-en-11-ol by enantioselective deuteration. Partial HSQC spectra of A) unlabeled guaia-4(15)-en-11-ol (region for C2, C6 and C8), guaia-4(15)-en-11-ol obtained from B) (R)-(1-13C,1-2H)IPP and C) (S)-(1-13C,1-2H)IPP, D) unlabeled guaia-4(15)-en-11-ol (region for C3 and C9), and guaia-4(15)-en-11-ol obtained from E) (E)-(4-13C,4-2H)IPP and F) (Z)-(4-13C,4-2H)IPP. Taken together, these data establish the absolute configuration of (1S,5S,7R,10R)-guaia-4(15)-en-11-ol.",
benzylalcohol,,,
2-phenylethanol,,,
salicylaldehyde,,,
,,,
Terpenes ,,,
"1,8-cineole",,,
(+)-limonene,,,
_-terpineol,,,
,,,
Fatty acids,,,
myristic acid,,,
pentadecanoic acid,,,
palmitic acid,,,
oleic acid,,,
stearic acid,,,
,,,
1-hexanol,https://doi.org/10.3390/molecules26030555,,
"1,8-cineole",,,
benzylalcohol,,,
salicylaldehyde,,,
(E)-4-nonenal,,,
2-phenylethanol,,,
_-terpineol,,,
elemol,,,
"(1S,5S,7R,10R)-guaia-4(15)-en-11-ol",,,
