Volatile compounds,Plant,Table S2 Categorization of volatile substances in the skin and pulp of Chardonnay and Bud mutation ,
"3-(3-Phenyl-[1,2,4]triazolo[3,4-b][1,3,4]thiadiazol-6-yl)-1H-pyrazole",Vitis vinifera,6,Chardonnay-pulp
N-Isopropyl-3-phenylpropanamide,Vitis vinifera,7,Chardonnay-pulp
"4-tert-Octylphenol, TMS derivative",Vitis vinifera,8,Chardonnay-pulp
Benzene,Vitis vinifera,9,Chardonnay-pulp
"Benzene, (1-methyldecyl)-",Vitis vinifera,10,Chardonnay-pulp
"Oxime-, methoxy-phenyl-_",Vitis vinifera,11,Chardonnay-pulp
"Benzonitrile, m-phenethyl-",Vitis vinifera,12,Chardonnay-pulp
"Benzene, (1-pentylheptyl)-",Vitis vinifera,13,Chardonnay-pulp
"Benzene, (1-butyloctyl)-",Vitis vinifera,14,Chardonnay-pulp
"Benzene, (1-propyloctyl)-",Vitis vinifera,15,Chardonnay-pulp
"Thiophene-2-carboxamide, N-(2-fluorophenyl)-",Vitis vinifera,16,Chardonnay-pulp
3-Methylbenzoylhydrazide,Vitis vinifera,17,Chardonnay-pulp
"2H-pyran, 2,2'-[1,4-phenylenebis(oxy)]bis[tetrahydro-",Vitis vinifera,18,Chardonnay-pulp
"Ethanone, 1-(2,6-dihydroxy-4-methoxyphenyl)-",Vitis vinifera,19,Chardonnay-pulp
4-Methyl-6-nitrobenzofurazan oxide,Vitis vinifera,20,Chardonnay-pulp
4-Methylformanilide,Vitis vinifera,21,Chardonnay-pulp
,Vitis vinifera,,Chardonnay-pulp
,Vitis vinifera,Terpenes,Chardonnay-pulp
tetrachloroethylene,Vitis vinifera,1,Chardonnay-pulp
trans-1-Chloro-2-methylthio-ethene,Vitis vinifera,2,Chardonnay-pulp
"1,3,6,10-Dodecatetraene, 3,7,11-trimethyl-, (Z,E)-",Vitis vinifera,3,Chardonnay-pulp
"Cyclohexene, 4-ethenyl-1,4-dimethyl-",Vitis vinifera,4,Chardonnay-pulp
"Bicyclo[4.2.0]octa-1,3,5-triene",Vitis vinifera,5,Chardonnay-pulp
,,Ester,
"Acetic acid, butyl ester",Vitis vinifera,1,Bud mutation-pulp
Sulphuric acid dibutyl ester,Vitis vinifera,2,Bud mutation-pulp
