,PMCID,Plant,Compound,TPS nomenclature,,,,,,LINK
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6767024/ PMC6767024,PMC6767024,Camellia sinensis,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6767024/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6767024/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6742361/ PMC6742361,PMC6742361,Cannabis sativa,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6742361/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6742361/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6863749/ PMC6863749,PMC6863749,Eucalyptus grandis,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6863749/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6863749/ 
https://doi.org/10.1016/j.plantsci.2019.110187 PMID: 31481200,PMID: 31481200,Prunus dulcis,Yes,Yes,,[PMC](https://doi.org/10.1016/j.plantsci.2019.110187  ),, ),[PMC](,https://doi.org/10.1016/j.plantsci.2019.110187 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6747315/ PMC6747315,PMC6747315,Camellia sinensis,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6747315/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6747315/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6707303/ PMC6707303,PMC6707303,A. thaliana,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6707303/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6707303/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6707142/ PMC6707142,PMC6707142,,Yes,no,yeast,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6707142/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6707142/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6723042/ PMC6723042,PMC6723042,Thymus,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6723042/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6723042/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6679452/ PMC6679452,PMC6679452,Cymbidium goeringii,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6679452/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6679452/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6656997/ PMC6656997,PMC6656997,,not mentioned,not mentioned,fungus,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6656997/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6656997/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6680504/ PMC6680504,PMC6680504,Citrus medica,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6680504/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6680504/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6678411/ PMC6678411,PMC6678411,Platanus acerifolia,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6678411/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6678411/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6632208/ PMC6632208,PMC6632208,Lavandula angustifolia,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6632208/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6632208/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6543703/ PMC6543703,PMC6543703,Zanthoxylum piperitum,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6543703/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6543703/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6642400/ PMC6642400,PMC6642400,Nicotiana attenuata,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6642400/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6642400/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6651613/ PMC6651613,PMC6651613,Populus trichocarpa,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6651613/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6651613/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6592883/ PMC6592883,PMC6592883,,Yes,Yes,fungi,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6592883/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6592883/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6580502/ PMC6580502,PMC6580502,Eucalyptus globulus,not mentioned,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6580502/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6580502/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6598649/ PMC6598649,PMC6598649,Plants,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6598649/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6598649/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6544981/ PMC6544981,PMC6544981,,not mentioned,Yes,bacteria,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6544981/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6544981/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6563135/ PMC6563135,PMC6563135,Protium copal,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6563135/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6563135/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6531464/ PMC6531464,PMC6531464,Populus nigra,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6531464/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6531464/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6524965/ PMC6524965,PMC6524965,Dictyostelium discoideum,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6524965/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6524965/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6367160/ PMC6367160,PMC6367160,Plants,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6367160/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6367160/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6437863/ PMC6437863,PMC6437863,Santalum album,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6437863/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6437863/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6417135/ PMC6417135,PMC6417135,Citrus,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6417135/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6417135/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6393351/ PMC6393351,PMC6393351,Vitis vinifera,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6393351/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6393351/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6399326/ PMC6399326,PMC6399326,Dalbergia odorifera,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6399326/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6399326/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6473938/ PMC6473938,PMC6473938,Lycoris longituba,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6473938/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6473938/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352525/ PMC6352525,PMC6352525,Ocimum_species,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352525/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352525/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6850102/ PMC6850102,PMC6850102,C._stoebe,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6850102/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6850102/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6355774/ PMC6355774,PMC6355774,Solanum lycopersicum,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6355774/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6355774/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6345374/ PMC6345374,PMC6345374,Eucalyptus globulus,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6345374/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6345374/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6404600/ PMC6404600,PMC6404600,Ferula assafoetida,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6404600/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6404600/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6784883/ PMC6784883,PMC6784883,Cinnamomum kanehirae,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6784883/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6784883/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6299004/ PMC6299004,PMC6299004,Populus trichocarpa,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6299004/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6299004/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6287202/ PMC6287202,PMC6287202,Quercus robur,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6287202/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6287202/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6320843/ PMC6320843,PMC6320843,Cyperus_iria_,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6320843/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6320843/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240891/ PMC6240891,PMC6240891,Pelargonium,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240891/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6240891/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6246602/ PMC6246602,PMC6246602,Osmanthus fragrans,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6246602/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6246602/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6231246/ PMC6231246,PMC6231246,,not mentioned,not mentioned,fungus,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6231246/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6231246/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6239295/ PMC6239295,PMC6239295,Ocimum sanctum,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6239295/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6239295/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6278268/ PMC6278268,PMC6278268,Scutellaria barbata,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6278268/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6278268/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6198442/ PMC6198442,PMC6198442,,Yes,Yes,Coniophora puteana,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6198442/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6198442/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6214137/ PMC6214137,PMC6214137,S._lycopersicum,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6214137/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6214137/ 
https://doi.org/10.5650/jos.ess18163 PMID: 30305556,PMID: 30305556,A. sciadophylloides Franch,not mentioned,Yes,,[PMC](https://doi.org/10.5650/jos.ess18163  ),, ),[PMC](,https://doi.org/10.5650/jos.ess18163 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6156593/ PMC6156593,PMC6156593,,Yes,Yes,Dictyostelids,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6156593/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6156593/ 
https://doi.org/10.1007/s00425-018-3006-7 PMID: 30218384,PMID: 30218384,Lilium__Siberiaê_,Yes,Yes,,[PMC](https://doi.org/10.1007/s00425-018-3006-7  ),, ),[PMC](,https://doi.org/10.1007/s00425-018-3006-7 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6163538/ PMC6163538,PMC6163538,S._lycopersicum,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6163538/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6163538/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6117411/ PMC6117411,PMC6117411,R. tomentosa,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6117411/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6117411/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6128898/ PMC6128898,PMC6128898,Trachyspermum ammi,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6128898/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6128898/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289780/ PMC6289780,PMC6289780,Salvia guaranitica,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289780/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289780/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110934/ PMC6110934,PMC6110934,Maize and Barley,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110934/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110934/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124719/ PMC6124719,PMC6124719,P._tuberosa,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124719/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124719/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6140472/ PMC6140472,PMC6140472,M. histrionica,Yes,Yes,insect,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6140472/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6140472/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6102311/ PMC6102311,PMC6102311,Camellia hiemalis,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6102311/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6102311/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6121529/ PMC6121529,PMC6121529,M. canadensis,not mentioned,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6121529/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6121529/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6100529/ PMC6100529,PMC6100529,Osmanthus fragrans,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6100529/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6100529/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6093345/ PMC6093345,PMC6093345,Phalaenopsis bellina,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6093345/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6093345/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6020762/ PMC6020762,PMC6020762,Amomum villosum,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6020762/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6020762/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6093421/ PMC6093421,PMC6093421,Freesia_x_hybrida_,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6093421/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6093421/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6100370/ PMC6100370,PMC6100370,P. minus,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6100370/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6100370/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110340/ PMC6110340,PMC6110340,Arabidopsis thaliana,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110340/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110340/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5984618/ PMC5984618,PMC5984618,R. chinensis,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5984618/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5984618/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5927414/ PMC5927414,PMC5927414,,not mentioned,Yes,T._atroviride,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5927414/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5927414/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5876372/ PMC5876372,PMC5876372,Lilium__Siberiaê,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5876372/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5876372/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5842272/ PMC5842272,PMC5842272,,Yes,Yes,Review,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5842272/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5842272/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6131416/ PMC6131416,PMC6131416,rice,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6131416/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6131416/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5802726/ PMC5802726,PMC5802726,citrus,not mentioned,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5802726/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5802726/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5777610/ PMC5777610,PMC5777610,Ocimum basilicum,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5777610/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5777610/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5777606/ PMC5777606,PMC5777606,Solanum lycopersicum,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5777606/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5777606/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5767561/ PMC5767561,PMC5767561,,Yes,not mentioned,E. coli_DH1,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5767561/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5767561/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5761147/ PMC5761147,PMC5761147,,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5761147/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5761147/ 
https://doi.org/10.1016/j.plantsci.2016.11.013 AGR: IND605603677,AGR: IND605603677,Jasminum sambac,Yes,not mentioned,,[PMC](https://doi.org/10.1016/j.plantsci.2016.11.013  ),, ),[PMC](,https://doi.org/10.1016/j.plantsci.2016.11.013 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6014366/ PMC6014366,PMC6014366,,not mentioned,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6014366/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6014366/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5703079/ PMC5703079,PMC5703079,Lycopersicon esculentum,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5703079/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5703079/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5694497/ PMC5694497,PMC5694497,Vitex_genus,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5694497/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5694497/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5693887/ PMC5693887,PMC5693887,,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5693887/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5693887/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5684173/ PMC5684173,PMC5684173,Daucus carota,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5684173/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5684173/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5700130/ PMC5700130,PMC5700130,Salvia officinalis,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5700130/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5700130/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5700745/ PMC5700745,PMC5700745,Lilium,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5700745/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5700745/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5683525/ PMC5683525,PMC5683525,maize,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5683525/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5683525/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6345376/ PMC6345376,PMC6345376,,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6345376/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6345376/ 
https://doi.org/10.1007/s00425-017-2801-x PMID: 29075872,PMID: 29075872,Camelina sativa,Yes,Yes,,[PMC](https://doi.org/10.1007/s00425-017-2801-x  ),, ),[PMC](,https://doi.org/10.1007/s00425-017-2801-x 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5641392/ PMC5641392,PMC5641392,Maize lines,not mentioned,,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5641392/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5641392/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5681606/ PMC5681606,PMC5681606,Arabidopsis thaliana,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5681606/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5681606/ 
https://doi.org/10.1111/pce.13088 PMID: 29044662,PMID: 29044662,Gossypium hirsutum,Yes,Yes,,[PMC](https://doi.org/10.1111/pce.13088  ),, ),[PMC](,https://doi.org/10.1111/pce.13088 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5853461/ PMC5853461,PMC5853461,sweet orange,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5853461/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5853461/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5853251/ PMC5853251,PMC5853251,cucumber,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5853251/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5853251/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5573811/ PMC5573811,PMC5573811,Citrus sinensis,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5573811/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5573811/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5584320/ PMC5584320,PMC5584320,Chrysanthemum morifolium,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5584320/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5584320/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5568196/ PMC5568196,PMC5568196,Citrus reticulata,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5568196/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5568196/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5543080/ PMC5543080,PMC5543080,Lilium,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5543080/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5543080/ 
