,PMCID,Plant,Compound,TPS nomenclature,,,,,,LINK
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7952619/ PMC7952619,PMC7952619,Hedychium coronarium,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7952619/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7952619/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7923825/ PMC7923825,PMC7923825,,not mentioned,Yes,bacteria,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7923825/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7923825/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7917091/ PMC7917091,PMC7917091,Lavandula angustifolia,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7917091/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7917091/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7917104/ PMC7917104,PMC7917104,Magnolia biondii Pamp,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7917104/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7917104/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7890116/ PMC7890116,PMC7890116,Artemisia annua,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7890116/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7890116/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7890063/ PMC7890063,PMC7890063,,Yes,Yes,mushroom,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7890063/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7890063/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7916813/ PMC7916813,PMC7916813,Zanthoxylum_bungeanum,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7916813/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7916813/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7861536/ PMC7861536,PMC7861536,citrus,Yes,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7861536/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7861536/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7866031/ PMC7866031,PMC7866031,Populus trichocarpa,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7866031/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7866031/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7815096/ PMC7815096,PMC7815096,,Yes,Yes,Heliconius_butterflies,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7815096/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7815096/ 
