LINK,PMCID,Plant,Compound,TPS nomenclature,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5295635/ ,PMC5295635,Maize,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4801258/ ,PMC4801258,Brassica juncea,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4757406/ ,PMC4757406,,Yes,Yes,fungus
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4709469/ ,PMC4709469,Osmanthus fragrans,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4711449/ ,PMC4711449,medicinal plants,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4737078/ ,PMC4737078,Vitis vinifera,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4737073/ ,PMC4737073,Vitis vinifera,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4654506/ ,PMC4654506,Syringa oblata,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4645219/ ,PMC4645219,Camellia sinensis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4625925/ ,PMC4625925,Populus trichocarpa,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4595271/ ,PMC4595271,Vitis vinifera,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4588909/ ,PMC4588909,Camellia sinensis,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4492009/ ,PMC4492009,Solanum elaeagnifolium,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4472261/ ,PMC4472261,Hedychium coronarium,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4464248/ ,PMC4464248,Eucalyptus,not mentioned,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4445982/ ,PMC4445982,Ocimum sanctum,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4438586/ ,PMC4438586,Nicotiana benthamiana,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4433141/ ,PMC4433141,Eucalyptus,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4473991/ ,PMC4473991,C. odorata,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4415311/ ,PMC4415311,Phaseolus lunatus,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4397498/ ,PMC4397498,Nicotiana attenuata,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4364678/ ,PMC4364678,Solanum lycopersicum,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4347605/ ,PMC4347605,Achillea millefolium,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4506461/ ,PMC4506461,Arabidopsis thaliana,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4375501/ ,PMC4375501,,Yes,Yes,fungus
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4273207/ ,PMC4273207,,Yes,not mentioned,Database
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4232691/ ,PMC4232691,Mentha spicata,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4197230/ ,PMC4197230,Populus trichocarpa,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4172859/ ,PMC4172859,Oryza,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4190577/ ,PMC4190577,Nicotiana attenuata,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4126464/ ,PMC4126464,,Yes,not mentioned,Synechococcus_sp.
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4125705/ ,PMC4125705,Ocimum,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMID: 24943828/ ,PMID: 24943828,Lavandula,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4032488/ ,PMC4032488,Solanum lycopersicum,Yes,Yes,
https://doi.org/10.1007/s10529-014-1533-2 ,PMID: 24752813,Solanum lycopersicum,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3969365/ ,PMC3969365,,not mentioned,Yes,Ecoli
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4277265/ ,PMC4277265,Pinus,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4883687/ ,PMC4883687,rice,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4007517/ ,PMC4007517,Quercus robur,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3790869/ ,PMC3790869,G. max,Yes,Yes,
https://doi.org/10.1016/j.phytochem.2013.09.009 ,PMID: 24074555,Gossypium hirsutum,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3775748/ ,PMC3775748,Boechera_stricta,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3694093/ ,PMC3694093,plants,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3650682/ ,PMC3650682,Selaginella,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3668260/ ,PMC3668260,Pinus,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3638147/ ,PMC3638147,Vaccinium macrocarpon,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3635961/ ,PMC3635961,A. sinensis,Yes,Yes,
https://doi.org/10.1105/tpc.112.100057 ,PMID: 23512856,Arabidopsis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570303/ ,PMC3570303,maize,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3525583/ ,PMC3525583,ginger and turmeric,Yes,Yes,
https://doi.org/10.1104/pp.112.208249 ,PMID: 23256150,Apple,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3437839/ ,PMC3437839,Selaginella moellendorffii,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3394800/ ,PMC3394800,Snapdragon,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3423072/ ,PMC3423072,chamomile,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3466413/ ,PMC3466413,Solanum habrochaites,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3268506/ ,PMC3268506,Arabidopsis,Yes,Yes,table compounds and TPS
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3243410/ ,PMC3243410,Arabidopsis,Yes,not mentioned,Review
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3346237/ ,PMC3346237,Salvia miltiorrhiza,not mentioned,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3346232/ ,PMC3346232,Alstroemeria,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3295389/ ,PMC3295389,Actinidia chinensis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3195254/ ,PMC3195254,,not mentioned,Yes,Ecoli
https://doi.org/10.1111/j.1365-313x.2011.04771.x ,PMID: 21880075,"sorghum, grass",Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3193516/ ,PMC3193516,Tomato,Yes,Yes,
https://doi.org/10.1016/j.phytochem.2011.03.014 ,PMID: 21492885,Populus trichocarpa,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3093818/ ,PMC3093818,Santalum,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3058080/ ,PMC3058080,Picea_spp.,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3001579/ ,PMC3001579,Lavender,not mentioned,not mentioned,Review
https://doi.org/10.1104/pp.110.154864 ,PMID: 20463089,Arabidopsis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2892144/ ,PMC2892144,Arabidopsis thaliana,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2798659/ ,PMC2798659,,1 compound,1 tps,fungus
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2710562/ ,PMC2710562,Medicago truncatula,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2718223/ ,PMC2718223,Actinidia deliciosa,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2705528/ ,PMC2705528,,not mentioned,Yes,Review
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2705607/ ,PMC2705607,tomato,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2687518/ ,PMC2687518,Arabidopsis lyrata,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2659225/ ,PMC2659225,Apple,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2459234/ ,PMC2459234,Pinus,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2242725/ ,PMC2242725,Picea,not mentioned,Yes,
https://doi.org/10.1104/pp.104.050187 ,PMID: 15618433,Picea sitchensis,Yes,Yes,
https://doi.org/10.1104/pp.104.042028 ,PMID: 15310829,Picea abies,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2756395/ ,PMC2756395,Medicago truncatula,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1876254/ ,PMC1876254,Lycopersicon esculentum,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC22624/ ,PMC22624,Abies grandis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC22453/ ,PMC22453,,not mentioned,Yes,Review
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3095273/ ,PMC3095273,Picea glauca,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2835961/ ,PMC2835961,Actinidia deliciosa,Yes,Yes,
https://doi.org/10.1111/j.1399-3054.2009.01315.x ,PMID: 20002329,lavender,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2634570/ ,PMC2634570,,not mentioned,not mentioned,Review
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2634321/ ,PMC2634321,M. truncatula,Yes,Yes,Review
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3071761/,PMC3071761,Curcuma longa,Yes,not mentioned,
,,,,,
