LINK,PMCID,Plant,Compound,TPS nomenclature,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7293187/ ,PMC7293187,Cinnamomum burmannii,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7305226/ ,PMC7305226,Daucus carota_,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352595/ ,PMC7352595,Pseudotaxus chienii,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7321343/ ,PMC7321343,Vitis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7279377/ ,PMC7279377,,not mentioned,not mentioned,candida
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7216305/ ,PMC7216305,Vitis vinifera,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7286024/ ,PMC7286024,Vitis vinifera,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7227769/ ,PMC7227769,,Yes,No,Fungus
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7290806/ ,PMC7290806,Vitis vinifera,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7299927/ ,PMC7299927,Cucumis sativus,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163982/ ,PMC7163982,,Yes,Yes,Poster Presentations
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7238224/ ,PMC7238224,Arabidopsis,not mentioned,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7497057/ ,PMC7497057,Setaria italica,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7180759/ ,PMC7180759,Clematis florida,Yes,Yes,table
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7125107/ ,PMC7125107,Litsea cubeba,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7230838/ ,PMC7230838,Osmanthus fragrans,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7154873/ ,PMC7154873,Salvia hispanica,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7062797/ ,PMC7062797,Camellia sinensis,Yes,Yes,
https://doi.org/10.1104/pp.20.00186 ,PMID: 32184346,Actinidia chinensis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7067565/ ,PMC7067565,,not mentioned,not mentioned,"A. thaliana,_E. coli,"
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072466/ ,PMC7072466,Camellia sinensis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7029581/ ,PMC7029581,Matricaria recutita_(German chamomile) and_Chamaemelum nobile_,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6986057/ ,PMC6986057,Vitis vinifera,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6986037/ ,PMC6986037,Zanthoxylum armatum,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6976640/ ,PMC6976640,Camellia sinensis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7013532/ ,PMC7013532,Camellia sinensis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7422722/ ,PMC7422722,Solanum lycopersicum,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6941427/ ,PMC6941427,Camellia sinensis,Yes,no,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945444/ ,PMC6945444,citrus,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7015852/ ,PMC7015852,N. colorata,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6902781/ ,PMC6902781,,Yes,Yes,Physarum polycephalum
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6941020/ ,PMC6941020,Cinnamomum porrectum.,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6995508/ ,PMC6995508,Camellia sinensis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206992/ ,PMC7206992,Coriandrum sativum,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6804824/ ,PMC6804824,Lilium,Yes,Yes,
